abandoned,air traffic control tower,belltower,bridge,casino,city,city_id,commercial,completed.year,country,country id,current,education,exhibition,floors above,government,height,hospital,hotel,id,industrial,is completed,is started,latitude,library,longitude,material,multiple,museum,name,number of purposes,observation,office,other,rank,religious,residential,retail,serviced apartments,started.year,telecommunications
FALSE,FALSE,FALSE,FALSE,FALSE,Chicago,1539,FALSE,0,US,163,vision,FALSE,FALSE,528,TRUE,1609.359985,FALSE,TRUE,12,FALSE,FALSE,FALSE,0,FALSE,0,steel,FALSE,FALSE,The Illinois,4,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Chicago,1539,FALSE,0,US,163,never completed,FALSE,FALSE,150,FALSE,609.5999756,FALSE,FALSE,62,FALSE,FALSE,TRUE,41.88988876,FALSE,-87.61486053,composite,FALSE,FALSE,Chicago Spire,1,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,2007,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Chicago,1539,FALSE,0,US,163,vision,FALSE,FALSE,125,FALSE,609.4899902,FALSE,FALSE,68,FALSE,FALSE,FALSE,41.8816185,FALSE,-87.63435364,composite,TRUE,FALSE,Miglin-Beitler Skyneedle,1,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2014,US,163,completed,FALSE,FALSE,94,FALSE,541.2999878,FALSE,FALSE,98,FALSE,TRUE,TRUE,40.71311188,FALSE,-74.01335144,composite,FALSE,FALSE,One World Trade Center,1,FALSE,TRUE,FALSE,4,FALSE,FALSE,FALSE,FALSE,2006,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2019,US,163,under construction,FALSE,FALSE,95,FALSE,541.0200195,FALSE,TRUE,14269,FALSE,TRUE,TRUE,40.76636124,FALSE,-73.9809494,concrete,FALSE,FALSE,Central Park Tower,3,FALSE,FALSE,FALSE,5,FALSE,TRUE,TRUE,FALSE,2014,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,0,US,163,vision,FALSE,FALSE,132,FALSE,518,FALSE,FALSE,16334,FALSE,FALSE,FALSE,40.75925827,FALSE,-73.98947144,steel,FALSE,FALSE,World Trade Building,1,FALSE,TRUE,FALSE,6,FALSE,FALSE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Chicago,1539,FALSE,0,US,163,vision,FALSE,FALSE,112,FALSE,477.5499878,FALSE,FALSE,139,FALSE,FALSE,FALSE,41.88167953,FALSE,-87.62890625,concrete,FALSE,FALSE,7 South Dearborn,2,FALSE,TRUE,FALSE,7,FALSE,TRUE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Chicago,1539,FALSE,1974,US,163,completed,FALSE,FALSE,108,FALSE,442.1400146,FALSE,FALSE,169,FALSE,TRUE,TRUE,41.8788681,FALSE,-87.63594818,steel,FALSE,FALSE,Willis Tower,1,FALSE,TRUE,FALSE,8,FALSE,FALSE,FALSE,FALSE,1970,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2018,US,163,under construction,FALSE,FALSE,80,FALSE,438.2999878,FALSE,FALSE,14320,FALSE,TRUE,TRUE,40.76480103,FALSE,-73.97754669,concrete,FALSE,FALSE,111 West 57th Street,1,FALSE,FALSE,FALSE,9,FALSE,TRUE,FALSE,FALSE,2015,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Houston,1593,FALSE,0,US,163,vision,FALSE,FALSE,82,FALSE,427.8699951,FALSE,FALSE,187,FALSE,FALSE,FALSE,29.75864983,FALSE,-95.36681366,composite,FALSE,FALSE,Bank of Southwest Tower,1,FALSE,TRUE,FALSE,10,FALSE,FALSE,FALSE,FALSE,0,FALSE
